,Train_Per,Params,MSE,Accuracy
0,0.6,"(1, 0, 5)",0.010370016689391465,0.535175879396985
1,0.6,"(1, 1, 5)",0.11576349596835664,0.5188442211055276
2,0.6,"(5, 0, 5)",0.011646246696811876,0.5251256281407035
3,0.6,"(5, 1, 5)",0.04619505630327181,0.5376884422110553
4,0.6,"(10, 0, 5)",0.018889037634680514,0.4836683417085427
5,0.6,"(10, 1, 5)",0.08963288501312892,0.5251256281407035
6,0.7,"(1, 0, 5)",0.011454962764630356,0.5360134003350083
7,0.7,"(1, 1, 5)",0.007983647576993293,0.5360134003350083
8,0.7,"(5, 0, 5)",0.036958437521447174,0.5142378559463987
9,0.7,"(5, 1, 5)",0.007757957647602905,0.5393634840871022
10,0.7,"(10, 0, 5)",0.03646792790353922,0.5276381909547738
11,0.7,"(10, 1, 5)",0.007727120238407646,0.5326633165829145
